microrregiao,percentil,start,end,duration_days
ALTO CAPIBARIBE,90.0,1994-09-26,1994-10-16,21
ALTO CAPIBARIBE,90.0,1994-11-02,1994-12-01,30
ALTO CAPIBARIBE,90.0,1995-10-04,1995-10-09,6
ALTO CAPIBARIBE,90.0,1995-10-18,1995-10-27,10
ALTO CAPIBARIBE,90.0,1995-12-07,1995-12-20,14
ALTO CAPIBARIBE,90.0,1996-09-30,1996-10-04,5
ALTO CAPIBARIBE,90.0,1996-10-25,1996-11-03,10
ALTO CAPIBARIBE,90.0,1996-11-19,1996-11-29,11
ALTO CAPIBARIBE,90.0,1997-10-05,1997-12-08,65
ALTO CAPIBARIBE,90.0,1998-10-12,1998-10-17,6
ALTO CAPIBARIBE,90.0,1998-10-28,1998-12-16,50
ALTO CAPIBARIBE,90.0,1999-09-28,1999-10-20,23
ALTO CAPIBARIBE,90.0,2000-11-02,2000-11-13,12
ALTO CAPIBARIBE,90.0,2001-10-03,2001-10-10,8
ALTO CAPIBARIBE,90.0,2001-10-19,2001-11-01,14
ALTO CAPIBARIBE,90.0,2001-11-12,2001-11-23,12
ALTO CAPIBARIBE,90.0,2003-09-26,2003-09-29,4
ALTO CAPIBARIBE,90.0,2003-10-06,2003-10-25,20
ALTO CAPIBARIBE,90.0,2003-10-29,2003-12-09,42
ALTO CAPIBARIBE,90.0,2003-12-22,2003-12-26,5
ALTO CAPIBARIBE,90.0,2004-11-05,2004-11-10,6
ALTO CAPIBARIBE,90.0,2004-11-25,2004-12-16,22
ALTO CAPIBARIBE,90.0,2005-10-22,2005-11-25,35
ALTO CAPIBARIBE,90.0,2006-10-04,2006-11-07,35
ALTO CAPIBARIBE,90.0,2006-11-17,2006-12-04,18
ALTO CAPIBARIBE,90.0,2008-10-27,2008-11-30,35
ALTO CAPIBARIBE,90.0,2008-12-25,2009-01-03,10
ALTO CAPIBARIBE,90.0,2009-11-14,2009-12-09,26
ALTO CAPIBARIBE,90.0,2010-09-29,2010-11-29,62
ALTO CAPIBARIBE,90.0,2013-10-06,2013-10-10,5
ALTO CAPIBARIBE,90.0,2013-11-14,2013-12-10,27
ALTO CAPIBARIBE,90.0,2014-12-26,2014-12-30,5
ALTO CAPIBARIBE,90.0,2015-10-12,2015-12-10,60
ALTO CAPIBARIBE,90.0,2016-09-21,2016-09-28,8
ALTO CAPIBARIBE,90.0,2016-09-30,2016-10-14,15
ALTO CAPIBARIBE,90.0,2016-10-19,2016-11-08,21
ALTO CAPIBARIBE,90.0,2016-11-10,2016-12-12,33
ALTO CAPIBARIBE,90.0,2017-11-04,2017-12-04,31
ALTO CAPIBARIBE,90.0,2017-12-11,2017-12-31,21
ALTO CAPIBARIBE,90.0,2018-09-28,2018-11-30,64
ALTO CAPIBARIBE,90.0,2018-12-02,2018-12-10,9
ALTO CAPIBARIBE,90.0,2019-09-30,2019-10-05,6
ALTO CAPIBARIBE,90.0,2019-10-13,2019-12-19,68
ALTO CAPIBARIBE,90.0,2020-01-26,2020-01-29,4
ALTO CAPIBARIBE,90.0,2021-10-10,2021-10-18,9
ALTO CAPIBARIBE,90.0,2021-11-02,2021-12-03,32
ALTO CAPIBARIBE,90.0,2022-10-25,2022-11-06,13
ALTO CAPIBARIBE,90.0,2022-11-10,2022-11-13,4
ALTO CAPIBARIBE,90.0,2022-11-23,2022-11-26,4
ALTO CAPIBARIBE,90.0,2023-09-29,2023-10-03,5
ALTO CAPIBARIBE,90.0,2023-10-24,2023-11-20,28
ALTO CAPIBARIBE,95.0,1994-09-30,1994-10-13,14
ALTO CAPIBARIBE,95.0,1994-11-14,1994-11-30,17
ALTO CAPIBARIBE,95.0,1995-10-19,1995-10-25,7
ALTO CAPIBARIBE,95.0,1996-10-31,1996-11-02,3
ALTO CAPIBARIBE,95.0,1996-11-21,1996-11-28,8
ALTO CAPIBARIBE,95.0,1997-10-31,1997-11-24,25
ALTO CAPIBARIBE,95.0,1998-10-31,1998-11-28,29
ALTO CAPIBARIBE,95.0,1998-12-07,1998-12-11,5
ALTO CAPIBARIBE,95.0,1999-10-14,1999-10-17,4
ALTO CAPIBARIBE,95.0,2001-10-20,2001-10-28,9
ALTO CAPIBARIBE,95.0,2001-11-14,2001-11-19,6
ALTO CAPIBARIBE,95.0,2003-10-08,2003-10-19,12
ALTO CAPIBARIBE,95.0,2003-11-01,2003-12-07,37
ALTO CAPIBARIBE,95.0,2004-11-28,2004-12-13,16
ALTO CAPIBARIBE,95.0,2005-10-26,2005-11-14,20
ALTO CAPIBARIBE,95.0,2006-11-22,2006-12-01,10
ALTO CAPIBARIBE,95.0,2008-11-01,2008-11-28,28
ALTO CAPIBARIBE,95.0,2010-10-03,2010-10-11,9
ALTO CAPIBARIBE,95.0,2013-11-25,2013-12-06,12
ALTO CAPIBARIBE,95.0,2015-10-16,2015-12-07,53
ALTO CAPIBARIBE,95.0,2016-10-03,2016-10-12,10
ALTO CAPIBARIBE,95.0,2016-11-15,2016-12-11,27
ALTO CAPIBARIBE,95.0,2017-11-06,2017-12-02,27
ALTO CAPIBARIBE,95.0,2018-10-06,2018-10-28,23
ALTO CAPIBARIBE,95.0,2018-11-15,2018-11-27,13
ALTO CAPIBARIBE,95.0,2018-12-04,2018-12-09,6
ALTO CAPIBARIBE,95.0,2019-10-20,2019-11-07,19
ALTO CAPIBARIBE,95.0,2019-11-10,2019-12-02,23
ALTO CAPIBARIBE,95.0,2019-12-08,2019-12-14,7
ALTO CAPIBARIBE,95.0,2021-10-12,2021-10-15,4
ALTO CAPIBARIBE,95.0,2021-11-03,2021-11-08,6
ALTO CAPIBARIBE,95.0,2021-11-16,2021-12-02,17
ALTO CAPIBARIBE,95.0,2022-10-28,2022-11-04,8
ALTO CAPIBARIBE,95.0,2023-10-25,2023-10-27,3
ALTO CAPIBARIBE,95.0,2023-10-29,2023-11-10,13
